,Susceptible,Exposed,Infected,Recovered,Cumulative_Infected,Infected_Immune,Infected_Superspreader,Infected_Moderate,Infected_Critical,Infected_Cynical,narrative
0,930,0,70,0,70,17,13,34,4,2,N_beta0.42_emo0.80
1,686,244,67,3,70,16,13,33,3,2,N_beta0.42_emo0.80
2,631,230,129,10,139,15,53,53,4,4,N_beta0.42_emo0.80
3,494,321,169,16,185,17,63,76,4,9,N_beta0.42_emo0.80
4,367,366,242,25,268,23,83,118,6,12,N_beta0.42_emo0.80
5,242,408,311,39,351,27,98,158,8,20,N_beta0.42_emo0.80
6,163,385,399,53,453,38,117,208,12,24,N_beta0.42_emo0.80
7,103,365,466,66,536,50,119,255,16,26,N_beta0.42_emo0.80
8,70,323,524,83,612,62,126,285,23,28,N_beta0.42_emo0.80
9,44,293,558,105,670,67,128,304,25,34,N_beta0.42_emo0.80
10,27,252,591,130,730,75,125,314,37,40,N_beta0.42_emo0.80
11,17,215,617,151,781,76,125,331,39,46,N_beta0.42_emo0.80
12,13,188,620,179,816,79,121,332,43,45,N_beta0.42_emo0.80
13,9,163,620,208,849,78,118,336,45,43,N_beta0.42_emo0.80
14,6,148,606,240,870,74,113,333,43,43,N_beta0.42_emo0.80
15,6,136,595,263,886,71,111,325,46,42,N_beta0.42_emo0.80
16,16,121,581,282,903,74,107,310,49,41,N_beta0.42_emo0.80
17,9,117,569,305,920,71,104,306,49,39,N_beta0.42_emo0.80
18,12,102,556,330,941,74,103,293,49,37,N_beta0.42_emo0.80
19,15,100,532,353,951,76,97,278,48,33,N_beta0.42_emo0.80
20,15,93,516,376,968,70,100,264,50,32,N_beta0.42_emo0.80
21,13,92,502,393,979,71,100,253,48,30,N_beta0.42_emo0.80
22,17,88,482,413,993,66,101,240,47,28,N_beta0.42_emo0.80
23,23,92,467,418,1003,66,98,233,44,26,N_beta0.42_emo0.80
24,27,86,449,438,1019,61,95,225,43,25,N_beta0.42_emo0.80
25,27,87,438,448,1032,60,92,217,44,25,N_beta0.42_emo0.80
26,31,78,428,463,1052,60,93,209,41,25,N_beta0.42_emo0.80
27,28,85,415,472,1064,58,91,203,39,24,N_beta0.42_emo0.80
