,Susceptible,Exposed,Infected,Recovered,Cumulative_Infected,Infected_Immune,Infected_Superspreader,Infected_Moderate,Infected_Critical,Infected_Cynical,narrative
28,29,80,411,480,1082,55,92,200,39,25,N_beta0.42_emo0.80
29,30,79,409,482,1095,55,93,200,37,24,N_beta0.42_emo0.80
30,28,76,396,500,1110,53,94,192,33,24,N_beta0.42_emo0.80
31,28,78,386,508,1122,47,95,189,31,24,N_beta0.42_emo0.80
32,33,72,374,521,1136,44,94,183,29,24,N_beta0.42_emo0.80
33,31,74,363,532,1148,46,92,173,29,23,N_beta0.42_emo0.80
34,34,79,355,532,1158,46,91,168,27,23,N_beta0.42_emo0.80
35,35,75,349,541,1174,47,95,160,26,21,N_beta0.42_emo0.80
36,43,72,340,545,1186,47,94,154,26,19,N_beta0.42_emo0.80
37,43,72,337,548,1201,48,91,155,24,19,N_beta0.42_emo0.80
38,47,69,334,550,1216,49,93,152,23,17,N_beta0.42_emo0.80
39,46,76,324,554,1225,42,90,153,23,16,N_beta0.42_emo0.80
40,47,83,317,553,1235,39,87,150,23,18,N_beta0.42_emo0.80
41,42,76,320,562,1257,37,88,153,22,20,N_beta0.42_emo0.80
42,43,70,310,577,1273,40,86,144,20,20,N_beta0.42_emo0.80
43,47,71,307,575,1284,39,86,142,20,20,N_beta0.42_emo0.80
44,58,63,312,567,1305,44,85,141,21,21,N_beta0.42_emo0.80
45,51,71,311,567,1320,45,83,145,18,20,N_beta0.42_emo0.80
46,56,69,308,567,1336,42,85,142,18,21,N_beta0.42_emo0.80
47,54,76,302,568,1348,41,84,140,17,20,N_beta0.42_emo0.80
48,54,71,306,569,1367,43,83,143,19,18,N_beta0.42_emo0.80
49,53,69,303,575,1382,45,84,138,19,17,N_beta0.42_emo0.80
50,59,68,297,576,1394,39,85,141,17,15,N_beta0.42_emo0.80
51,66,65,300,569,1410,37,89,142,17,15,N_beta0.42_emo0.80
52,64,68,300,568,1426,35,87,145,18,15,N_beta0.42_emo0.80
53,59,77,293,571,1438,34,87,141,18,13,N_beta0.42_emo0.80
54,58,75,298,569,1456,34,89,144,18,13,N_beta0.42_emo0.80
55,62,64,305,569,1478,36,88,151,19,11,N_beta0.42_emo0.80
56,66,66,302,566,1490,35,89,147,21,10,N_beta0.42_emo0.80
57,72,69,299,560,1502,35,85,149,18,12,N_beta0.42_emo0.80
58,67,69,296,568,1516,37,85,147,17,10,N_beta0.42_emo0.80
59,75,69,288,568,1527,35,82,148,14,9,N_beta0.42_emo0.80
60,75,70,289,566,1541,38,78,147,15,11,N_beta0.42_emo0.80
61,75,71,288,566,1558,35,81,143,18,11,N_beta0.42_emo0.80
62,75,78,284,563,1570,36,79,141,18,10,N_beta0.42_emo0.80
63,77,76,293,554,1587,39,81,145,18,10,N_beta0.42_emo0.80
64,76,73,293,558,1606,39,81,142,22,9,N_beta0.42_emo0.80
65,74,67,290,569,1623,38,79,142,20,11,N_beta0.42_emo0.80
66,80,66,291,563,1636,35,79,145,20,12,N_beta0.42_emo0.80
67,81,72,288,559,1646,35,80,143,18,12,N_beta0.42_emo0.80
68,74,80,285,561,1657,34,75,144,19,13,N_beta0.42_emo0.80
69,82,72,289,557,1673,36,77,145,19,12,N_beta0.42_emo0.80
70,91,64,289,556,1692,36,75,146,19,13,N_beta0.42_emo0.80
71,86,77,281,556,1698,34,72,145,18,12,N_beta0.42_emo0.80
72,89,75,277,559,1713,30,74,143,18,12,N_beta0.42_emo0.80
73,95,74,272,559,1725,29,73,137,19,14,N_beta0.42_emo0.80
74,99,73,272,556,1739,27,76,136,19,14,N_beta0.42_emo0.80
75,103,71,267,559,1753,26,71,138,19,13,N_beta0.42_emo0.80
76,98,69,269,564,1770,27,73,137,18,14,N_beta0.42_emo0.80
77,98,75,265,562,1780,29,71,134,17,14,N_beta0.42_emo0.80
78,106,60,267,567,1805,31,70,138,15,13,N_beta0.42_emo0.80
79,98,69,264,569,1817,30,70,134,16,14,N_beta0.42_emo0.80
80,103,64,270,563,1837,29,69,142,15,15,N_beta0.42_emo0.80
81,95,70,268,567,1848,29,67,140,17,15,N_beta0.42_emo0.80
82,98,69,272,561,1861,27,67,144,18,16,N_beta0.42_emo0.80
83,99,71,272,558,1875,27,67,144,18,16,N_beta0.42_emo0.80
84,89,81,269,561,1884,28,64,141,19,17,N_beta0.42_emo0.80
85,80,74,279,567,1910,29,65,145,22,18,N_beta0.42_emo0.80
86,83,73,278,566,1924,30,60,149,22,17,N_beta0.42_emo0.80
87,82,78,271,569,1933,28,59,144,22,18,N_beta0.42_emo0.80
88,85,81,263,571,1943,29,59,139,18,18,N_beta0.42_emo0.80
89,82,75,272,571,1961,31,61,141,21,18,N_beta0.42_emo0.80
90,79,79,266,576,1974,28,62,140,18,18,N_beta0.42_emo0.80
91,86,70,274,570,1994,33,62,141,18,20,N_beta0.42_emo0.80
92,87,72,276,565,2009,37,60,139,20,20,N_beta0.42_emo0.80
93,84,72,272,572,2027,32,61,143,17,19,N_beta0.42_emo0.80
94,84,76,275,565,2039,30,62,146,19,18,N_beta0.42_emo0.80
95,89,75,276,560,2053,31,62,146,19,18,N_beta0.42_emo0.80
96,94,67,282,557,2075,31,63,150,20,18,N_beta0.42_emo0.80
97,92,74,274,560,2085,27,60,149,21,17,N_beta0.42_emo0.80
98,84,78,274,564,2100,27,59,149,22,17,N_beta0.42_emo0.80
99,86,74,274,566,2114,28,64,144,21,17,N_beta0.42_emo0.80
100,79,74,278,569,2131,30,68,141,22,17,N_beta0.42_emo0.80
