,Susceptible,Exposed,Infected,Recovered,Cumulative_Infected,Infected_Immune,Infected_Superspreader,Infected_Moderate,Infected_Critical,Infected_Cynical,narrative
33,32,46,382,540,1170,62,87,182,29,22,N3_govt_restrictions
34,27,51,375,547,1179,59,88,177,29,22,N3_govt_restrictions
35,40,48,368,544,1190,61,86,176,25,20,N3_govt_restrictions
36,40,53,369,538,1203,63,85,178,24,19,N3_govt_restrictions
37,31,62,366,541,1215,61,90,170,26,19,N3_govt_restrictions
38,40,60,358,542,1227,54,90,168,26,20,N3_govt_restrictions
39,39,66,345,550,1238,52,89,162,22,20,N3_govt_restrictions
40,48,68,346,538,1251,53,87,166,22,18,N3_govt_restrictions
41,42,81,334,543,1258,52,85,160,21,16,N3_govt_restrictions
42,43,82,327,548,1271,49,85,158,20,15,N3_govt_restrictions
43,46,76,322,556,1289,48,82,156,20,16,N3_govt_restrictions
44,52,76,315,557,1303,45,79,158,19,14,N3_govt_restrictions
45,54,76,312,558,1318,47,76,159,20,10,N3_govt_restrictions
46,57,77,307,559,1333,42,75,158,22,10,N3_govt_restrictions
47,56,71,305,568,1352,40,73,153,25,14,N3_govt_restrictions
48,60,66,310,564,1367,39,73,161,24,13,N3_govt_restrictions
49,62,71,294,573,1373,33,67,157,24,13,N3_govt_restrictions
50,68,67,287,578,1386,32,66,151,24,14,N3_govt_restrictions
51,82,63,286,569,1398,32,65,150,24,15,N3_govt_restrictions
52,78,69,287,566,1412,33,63,151,25,15,N3_govt_restrictions
53,63,74,281,582,1428,32,64,148,23,14,N3_govt_restrictions
54,76,69,280,575,1440,32,64,146,23,15,N3_govt_restrictions
55,74,73,275,578,1451,33,63,139,23,17,N3_govt_restrictions
56,84,65,276,575,1468,33,63,144,20,16,N3_govt_restrictions
57,78,80,270,572,1476,35,63,139,18,15,N3_govt_restrictions
58,70,77,284,569,1500,36,66,146,20,16,N3_govt_restrictions
59,73,66,295,566,1523,38,65,155,20,17,N3_govt_restrictions
60,78,66,294,562,1534,40,68,152,19,15,N3_govt_restrictions
61,71,69,290,570,1552,39,69,149,19,14,N3_govt_restrictions
62,66,69,281,584,1567,32,69,147,18,15,N3_govt_restrictions
63,68,66,282,584,1583,34,71,145,17,15,N3_govt_restrictions
64,65,74,276,585,1593,31,70,145,17,13,N3_govt_restrictions
65,61,69,281,589,1613,29,71,147,22,12,N3_govt_restrictions
66,61,69,284,586,1628,32,72,145,21,14,N3_govt_restrictions
67,61,71,287,581,1642,33,72,143,24,15,N3_govt_restrictions
68,63,76,284,577,1654,29,74,142,23,16,N3_govt_restrictions
