,Susceptible,Exposed,Infected,Recovered,Cumulative_Infected,Infected_Immune,Infected_Superspreader,Infected_Moderate,Infected_Critical,Infected_Cynical,narrative
0,940,0,60,0,60,15,12,29,3,1,N_beta0.45_emo0.70
1,719,221,57,3,60,13,12,28,3,1,N_beta0.45_emo0.70
2,662,211,122,5,127,19,38,56,3,6,N_beta0.45_emo0.70
3,505,320,163,12,175,21,52,75,2,13,N_beta0.45_emo0.70
4,398,343,241,18,259,32,75,113,7,14,N_beta0.45_emo0.70
5,289,364,318,29,347,37,92,160,11,18,N_beta0.45_emo0.70
6,201,359,394,46,441,37,107,215,14,21,N_beta0.45_emo0.70
7,139,341,459,61,522,40,116,261,17,25,N_beta0.45_emo0.70
8,107,311,497,85,586,45,119,281,24,28,N_beta0.45_emo0.70
9,75,289,527,109,642,46,120,299,31,31,N_beta0.45_emo0.70
10,54,261,551,134,693,50,122,312,35,32,N_beta0.45_emo0.70
11,44,226,574,156,741,57,119,323,40,35,N_beta0.45_emo0.70
12,29,199,583,189,784,58,120,328,41,36,N_beta0.45_emo0.70
13,21,178,583,218,815,60,118,323,44,38,N_beta0.45_emo0.70
14,23,161,576,240,838,63,113,316,47,37,N_beta0.45_emo0.70
15,21,150,571,258,856,62,114,310,50,35,N_beta0.45_emo0.70
16,21,134,563,282,879,65,114,302,48,34,N_beta0.45_emo0.70
17,19,125,553,303,895,70,110,294,47,32,N_beta0.45_emo0.70
18,18,123,540,319,909,71,107,285,47,30,N_beta0.45_emo0.70
19,21,116,523,340,925,70,104,280,40,29,N_beta0.45_emo0.70
20,19,100,521,360,953,69,105,270,46,31,N_beta0.45_emo0.70
21,22,96,509,373,963,67,104,262,46,30,N_beta0.45_emo0.70
22,22,88,496,394,978,67,103,256,42,28,N_beta0.45_emo0.70
23,26,85,478,411,993,70,100,243,38,27,N_beta0.45_emo0.70
24,20,85,463,432,1010,69,99,232,38,25,N_beta0.45_emo0.70
25,26,78,450,446,1026,66,101,220,37,26,N_beta0.45_emo0.70
26,26,77,438,459,1042,64,95,219,36,24,N_beta0.45_emo0.70
27,24,86,419,471,1050,61,89,213,34,22,N_beta0.45_emo0.70
28,27,82,404,487,1063,53,87,207,34,23,N_beta0.45_emo0.70
29,26,67,417,490,1087,60,86,213,34,24,N_beta0.45_emo0.70
30,27,71,412,490,1097,57,86,210,34,25,N_beta0.45_emo0.70
31,27,67,404,502,1114,53,87,209,31,24,N_beta0.45_emo0.70
32,26,61,402,511,1134,54,88,208,28,24,N_beta0.45_emo0.70
33,27,63,393,517,1147,55,88,204,24,22,N_beta0.45_emo0.70
34,29,62,381,528,1158,52,85,197,23,24,N_beta0.45_emo0.70
35,31,62,383,524,1172,51,86,198,24,24,N_beta0.45_emo0.70
36,29,65,378,528,1188,49,84,193,27,25,N_beta0.45_emo0.70
37,33,61,377,529,1204,50,83,190,29,25,N_beta0.45_emo0.70
38,34,62,376,528,1216,52,88,185,26,25,N_beta0.45_emo0.70
39,41,59,372,528,1228,51,87,181,27,26,N_beta0.45_emo0.70
40,54,55,371,520,1241,53,87,177,27,27,N_beta0.45_emo0.70
41,44,68,362,526,1253,53,86,172,25,26,N_beta0.45_emo0.70
42,38,73,359,530,1267,50,89,170,23,27,N_beta0.45_emo0.70
43,41,73,354,532,1279,49,88,166,24,27,N_beta0.45_emo0.70
44,43,76,346,535,1292,45,89,164,22,26,N_beta0.45_emo0.70
45,44,74,345,537,1309,47,86,164,22,26,N_beta0.45_emo0.70
46,37,71,355,537,1332,51,86,167,26,25,N_beta0.45_emo0.70
47,46,67,348,539,1349,47,85,165,29,22,N_beta0.45_emo0.70
48,48,70,341,541,1363,42,86,164,27,22,N_beta0.45_emo0.70
49,49,63,348,540,1384,42,88,171,25,22,N_beta0.45_emo0.70
50,49,72,343,536,1393,42,90,165,25,21,N_beta0.45_emo0.70
51,41,68,344,547,1415,42,87,165,28,22,N_beta0.45_emo0.70
52,45,70,336,549,1426,39,83,165,27,22,N_beta0.45_emo0.70
53,46,68,330,556,1442,33,84,164,25,24,N_beta0.45_emo0.70
54,43,63,328,566,1460,34,82,165,25,22,N_beta0.45_emo0.70
55,39,65,326,570,1474,34,84,164,22,22,N_beta0.45_emo0.70
56,36,61,324,579,1491,34,83,161,25,21,N_beta0.45_emo0.70
57,52,63,318,567,1497,34,83,155,25,21,N_beta0.45_emo0.70
