,Susceptible,Exposed,Infected,Recovered,Cumulative_Infected,Infected_Immune,Infected_Superspreader,Infected_Moderate,Infected_Critical,Infected_Cynical,narrative
58,44,72,307,577,1507,32,83,148,23,21,N_beta0.45_emo0.70
59,48,66,315,571,1527,30,85,156,21,23,N_beta0.45_emo0.70
60,56,65,309,570,1537,32,83,152,19,23,N_beta0.45_emo0.70
61,58,64,311,567,1555,37,83,148,20,23,N_beta0.45_emo0.70
62,55,76,304,565,1563,38,82,141,20,23,N_beta0.45_emo0.70
63,49,75,307,569,1583,39,80,142,22,24,N_beta0.45_emo0.70
64,55,70,299,576,1595,39,80,138,21,21,N_beta0.45_emo0.70
65,53,68,299,580,1610,39,80,136,23,21,N_beta0.45_emo0.70
66,55,62,301,582,1628,40,80,139,22,20,N_beta0.45_emo0.70
67,54,65,297,584,1639,37,82,139,20,19,N_beta0.45_emo0.70
68,49,63,292,596,1654,32,82,135,22,21,N_beta0.45_emo0.70
69,58,56,281,605,1668,32,79,131,19,20,N_beta0.45_emo0.70
70,70,51,285,594,1685,34,77,134,20,20,N_beta0.45_emo0.70
71,61,65,283,591,1695,33,78,134,20,18,N_beta0.45_emo0.70
72,66,67,276,591,1708,32,77,132,16,19,N_beta0.45_emo0.70
73,58,77,273,592,1720,30,76,134,14,19,N_beta0.45_emo0.70
74,62,79,267,592,1733,28,79,131,11,18,N_beta0.45_emo0.70
75,67,83,265,585,1743,26,79,133,11,16,N_beta0.45_emo0.70
76,64,80,273,583,1762,29,79,134,14,17,N_beta0.45_emo0.70
77,70,83,264,583,1773,26,79,130,15,14,N_beta0.45_emo0.70
78,69,87,265,579,1786,27,80,128,16,14,N_beta0.45_emo0.70
79,74,84,264,578,1800,26,78,132,15,13,N_beta0.45_emo0.70
80,75,80,266,579,1820,26,78,134,15,13,N_beta0.45_emo0.70
81,69,89,264,578,1830,28,78,131,14,13,N_beta0.45_emo0.70
82,77,80,272,571,1847,33,80,131,15,13,N_beta0.45_emo0.70
83,72,81,272,575,1864,34,78,134,13,13,N_beta0.45_emo0.70
84,67,83,272,578,1876,31,77,138,12,14,N_beta0.45_emo0.70
85,83,75,276,566,1893,31,79,139,13,14,N_beta0.45_emo0.70
86,69,84,278,569,1910,30,80,140,13,15,N_beta0.45_emo0.70
87,73,75,286,566,1928,28,83,147,12,16,N_beta0.45_emo0.70
88,71,79,284,566,1936,28,85,143,12,16,N_beta0.45_emo0.70
89,79,69,292,560,1952,29,89,145,12,17,N_beta0.45_emo0.70
90,67,81,289,563,1965,32,88,140,11,18,N_beta0.45_emo0.70
91,75,73,294,558,1984,33,84,144,13,20,N_beta0.45_emo0.70
92,68,69,303,560,2007,39,86,146,12,20,N_beta0.45_emo0.70
93,61,69,305,565,2026,39,85,147,14,20,N_beta0.45_emo0.70
94,61,66,305,568,2045,38,85,151,14,17,N_beta0.45_emo0.70
95,69,65,302,564,2060,37,85,148,16,16,N_beta0.45_emo0.70
96,76,63,296,565,2074,35,87,143,17,14,N_beta0.45_emo0.70
97,71,71,295,563,2084,37,84,143,17,14,N_beta0.45_emo0.70
98,70,75,294,561,2095,34,82,148,16,14,N_beta0.45_emo0.70
99,67,72,297,564,2110,33,83,149,15,17,N_beta0.45_emo0.70
100,68,64,304,564,2132,38,81,151,17,17,N_beta0.45_emo0.70
