narrative,profile,total_agents,ever_infected,attack_rate,mean_time_in_I,total_infections,total_recoveries,correction_rate,mean_relapses
N3_govt_restrictions,immune,200,194,0.97,23.11340206185567,348,339,0.9741379310344828,1.07
N3_govt_restrictions,superspreader,150,149,0.9933333333333333,54.718120805369125,334,274,0.8203592814371258,1.4066666666666667
N3_govt_restrictions,moderate,500,489,0.978,36.41922290388548,1053,959,0.9107312440645774,1.334
N3_govt_restrictions,critical_thinker,100,97,0.97,24.95876288659794,186,181,0.9731182795698925,1.09
N3_govt_restrictions,cynical_contrarian,50,50,1.0,41.32,114,94,0.8245614035087719,1.46
